id,title,authors,year,venue,arxiv,category
1,Attention Is All You Need,Vaswani et al.,2017,NeurIPS,1706.03762,NLP/Transformers
2,BERT: Pre-training of Deep Bidirectional Transformers,Devlin et al.,2018,NAACL,1810.04805,NLP/Transformers
3,GPT-3: Language Models are Few-Shot Learners,Brown et al.,2020,NeurIPS,2005.14165,NLP/LLM
4,Deep Residual Learning for Image Recognition,He et al.,2016,CVPR,1512.03385,Computer Vision
5,ImageNet Classification with Deep CNNs (AlexNet),Krizhevsky et al.,2012,NeurIPS,,Computer Vision
6,Generative Adversarial Networks,Goodfellow et al.,2014,NeurIPS,1406.2661,Generative AI
7,Adam: A Method for Stochastic Optimization,Kingma & Ba,2014,ICLR,1412.6980,Optimization
8,Batch Normalization,Ioffe & Szegedy,2015,ICML,1502.03167,Deep Learning
9,Dropout: A Simple Way to Prevent Neural Networks from Overfitting,Srivastava et al.,2014,JMLR,,Regularization
10,Very Deep Convolutional Networks (VGGNet),Simonyan & Zisserman,2014,ICLR,1409.1556,Computer Vision
11,Going Deeper with Convolutions (Inception),Szegedy et al.,2015,CVPR,1409.4842,Computer Vision
12,U-Net: Convolutional Networks for Biomedical Image Segmentation,Ronneberger et al.,2015,MICCAI,1505.04597,Computer Vision
13,Mask R-CNN,He et al.,2017,ICCV,1703.06870,Computer Vision
14,YOLO: You Only Look Once,Redmon et al.,2016,CVPR,1506.02640,Computer Vision
15,Faster R-CNN,Ren et al.,2015,NeurIPS,1506.01497,Computer Vision
16,GPT-2: Language Models are Unsupervised Multitask Learners,Radford et al.,2019,OpenAI,,NLP/LLM
17,GPT-1: Improving Language Understanding by Generative Pre-Training,Radford et al.,2018,OpenAI,,NLP/LLM
18,ELMo: Deep Contextualized Word Representations,Peters et al.,2018,NAACL,1802.05365,NLP
19,Transformer-XL,Dai et al.,2019,ACL,1901.02860,NLP/Transformers
20,XLNet: Generalized Autoregressive Pretraining,Yang et al.,2019,NeurIPS,1906.08237,NLP/Transformers
21,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Liu et al.,2019,arXiv,1907.11692,NLP/Transformers
22,T5: Exploring the Limits of Transfer Learning,Raffel et al.,2020,JMLR,1910.10683,NLP/Transformers
23,ALBERT: A Lite BERT,Lan et al.,2019,ICLR,1909.11942,NLP/Transformers
24,DistilBERT: Distilling BERT,Sanh et al.,2019,NeurIPS Workshop,1910.01108,NLP/Compression
25,Wav2Vec 2.0: Self-Supervised Learning of Speech Representations,Baevski et al.,2020,NeurIPS,2006.11477,Speech/Audio
26,Vision Transformer (ViT),Dosovitskiy et al.,2020,ICLR,2010.11929,Computer Vision
27,Swin Transformer,Liu et al.,2021,ICCV,2103.14030,Computer Vision
28,CLIP: Learning Transferable Visual Models,Radford et al.,2021,ICML,2103.00020,Multimodal
29,DALL-E: Zero-Shot Text-to-Image Generation,Ramesh et al.,2021,ICML,2102.12092,Generative AI
30,Stable Diffusion: High-Resolution Image Synthesis,Rombach et al.,2022,CVPR,2112.10752,Generative AI
31,Diffusion Models Beat GANs on Image Synthesis,Dhariwal & Nichol,2021,NeurIPS,2105.05233,Generative AI
32,Denoising Diffusion Probabilistic Models,Ho et al.,2020,NeurIPS,2006.11239,Generative AI
33,Imagen: Photorealistic Text-to-Image Diffusion,Saharia et al.,2022,NeurIPS,2205.11487,Generative AI
34,InstructGPT: Training language models to follow instructions,Ouyang et al.,2022,NeurIPS,2203.02155,NLP/LLM
35,ChatGPT: Optimizing Language Models for Dialogue,OpenAI,2022,OpenAI,,NLP/LLM
36,LLaMA: Open and Efficient Foundation Language Models,Touvron et al.,2023,arXiv,2302.13971,NLP/LLM
37,Alpaca: A Strong Open-Source Instruction-Following Model,Taori et al.,2023,Stanford,,NLP/LLM
38,Vicuna: An Open-Source Chatbot,Chiang et al.,2023,LMSYS,,NLP/LLM
39,GPT-4: Technical Report,OpenAI,2023,arXiv,2303.08774,NLP/LLM
40,PaLM: Scaling Language Modeling with Pathways,Chowdhery et al.,2022,JMLR,2204.02311,NLP/LLM
41,Chinchilla: Training Compute-Optimal Large Language Models,Hoffmann et al.,2022,NeurIPS,2203.15556,NLP/LLM
42,Flamingo: Visual Language Model,Alayrac et al.,2022,NeurIPS,2204.14198,Multimodal
43,BLIP: Bootstrapping Language-Image Pre-training,Li et al.,2022,ICML,2201.12086,Multimodal
44,Perceiver: General Perception with Iterative Attention,Jaegle et al.,2021,ICML,2103.03206,Architecture
45,MLP-Mixer: An all-MLP Architecture for Vision,Tolstikhin et al.,2021,NeurIPS,2105.01601,Computer Vision
46,ConvNeXt: A ConvNet for the 2020s,Liu et al.,2022,CVPR,2201.03545,Computer Vision
47,MAE: Masked Autoencoders Are Scalable Vision Learners,He et al.,2022,CVPR,2111.06377,Computer Vision
48,BEiT: BERT Pre-Training of Image Transformers,Bao et al.,2021,ICLR,2106.08254,Computer Vision
49,DINO: Emerging Properties in Self-Supervised ViT,Caron et al.,2021,ICCV,2104.14294,Computer Vision
50,SimCLR: A Simple Framework for Contrastive Learning,Chen et al.,2020,ICML,2002.05709,Self-Supervised
51,MoCo: Momentum Contrast for Unsupervised Visual Representation,He et al.,2020,CVPR,1911.05722,Self-Supervised
52,BYOL: Bootstrap Your Own Latent,Grill et al.,2020,NeurIPS,2006.07733,Self-Supervised
53,SwAV: Unsupervised Learning of Visual Features,Caron et al.,2020,NeurIPS,2006.09882,Self-Supervised
54,Barlow Twins: Self-Supervised Learning via Redundancy Reduction,Zbontar et al.,2021,ICML,2103.03230,Self-Supervised
55,DQN: Playing Atari with Deep Reinforcement Learning,Mnih et al.,2013,NeurIPS Workshop,1312.5602,Reinforcement Learning
56,Double DQN: Deep Reinforcement Learning with Double Q-learning,Van Hasselt et al.,2015,AAAI,1509.06461,Reinforcement Learning
57,Dueling DQN: Dueling Network Architectures,Wang et al.,2016,ICML,1511.06581,Reinforcement Learning
58,A3C: Asynchronous Methods for Deep RL,Mnih et al.,2016,ICML,1602.01783,Reinforcement Learning
59,PPO: Proximal Policy Optimization,Schulman et al.,2017,arXiv,1707.06347,Reinforcement Learning
60,TRPO: Trust Region Policy Optimization,Schulman et al.,2015,ICML,1502.05477,Reinforcement Learning
61,SAC: Soft Actor-Critic,Haarnoja et al.,2018,ICML,1801.01290,Reinforcement Learning
62,TD3: Twin Delayed Deep Deterministic Policy Gradient,Fujimoto et al.,2018,ICML,1802.09477,Reinforcement Learning
63,AlphaGo: Mastering the game of Go with deep neural networks,Silver et al.,2016,Nature,,Reinforcement Learning
64,AlphaZero: Mastering Chess and Shogi by Self-Play,Silver et al.,2017,Science,,Reinforcement Learning
65,MuZero: Mastering Atari Go Chess and Shogi,Schrittwieser et al.,2020,Nature,1911.08265,Reinforcement Learning
66,World Models: Learning to simulate the world,Ha & Schmidhuber,2018,NeurIPS,1803.10122,Reinforcement Learning
67,Dreamer: Scalable Reinforcement Learning,Hafner et al.,2020,ICLR,1912.01603,Reinforcement Learning
68,DALL-E 2: Hierarchical Text-Conditional Image Generation,Ramesh et al.,2022,arXiv,2204.06125,Generative AI
69,Midjourney: AI Art Generation Platform,Midjourney,2022,Commercial,,Generative AI
70,StyleGAN: A Style-Based Generator Architecture,Karras et al.,2019,CVPR,1812.04948,Generative AI
71,StyleGAN2: Analyzing and Improving the Image Quality,Karras et al.,2020,CVPR,1912.04958,Generative AI
72,StyleGAN3: Alias-Free Generative Adversarial Networks,Karras et al.,2021,NeurIPS,2106.12423,Generative AI
73,BigGAN: Large Scale GAN Training for High Fidelity Natural Image Synthesis,Brock et al.,2019,ICLR,1809.11096,Generative AI
74,ProGAN: Progressive Growing of GANs,Karras et al.,2018,ICLR,1710.10196,Generative AI
75,CycleGAN: Unpaired Image-to-Image Translation,Zhu et al.,2017,ICCV,1703.10593,Generative AI
76,Pix2Pix: Image-to-Image Translation with Conditional GANs,Isola et al.,2017,CVPR,1611.07004,Generative AI
77,WaveNet: A Generative Model for Raw Audio,van den Oord et al.,2016,arXiv,1609.03499,Speech/Audio
